DRO PID, Title, Publication Type, Authors, ISSN, Parent Publication,Fields Of Research, Publication Year, Scopus Citation Count, Web of Science Citation Count, Journal Impact Factor, SJR, Abstract Views, File Downloads, URL, Open Access
DU:30102041,The second industrial transformation of Australian landscapes,Journal Article,"Bryan, Brett A;Meyer, Wayne S;Campbell, C Andrew;Harris, Graham P;Lefroy, Ted;Lyle, Greg;Martin, Paul;McLean, Josie;Montagu, Kelvin;Rickards, Lauren A;Summers, David M;Thackway, Richard;Wells, Sam;Young, Mike",1877-3435,Current opinion in environmental sustainability,MD Multidisciplinary,2013,23,19,3.954,2.324,131,1,http://dro.deakin.edu.au/view/DU:30102041,FALSE
DU:30102033,Identifying priority areas for reducing species vulnerability to climate change,Journal Article,"Crossman, Neville D;Bryan, Brett A;Summers, David M",1366-9516,Diversity and distributions,"05 Environmental Sciences,06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences",2012,41,36,4.391,2.651,127,1,http://dro.deakin.edu.au/view/DU:30102033,FALSE
DU:30102053,"Ecosystem services from a degraded peatland of Central Kalimantan: implications for policy, planning, and management",Journal Article,"Law, Elizabeth A.;Bryan, Brett A.;Meijaard, Erik;Mallawaarachchi, Thilak;Struebig, Matthew;Wilson, Kerrie A.",1051-0761,Ecological applications,"05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences",2015,22,22,4.314,2.265,108,0,http://dro.deakin.edu.au/view/DU:30102053,FALSE
DU:30102044,Meta-modeling soil organic carbon sequestration potential and its application at regional scale,Journal Article,"Luo, Zhongkui;Wang, Enli;Bryan, Brett A.;King, Darran;Zhao, Gang;Pan, Xubin;Bende-Michl, Ulrike",1051-0761,Ecological applications,"070108 Sustainable Agricultural Development,050301 Carbon Sequestration Science,05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences",2013,24,26,4.314,2.265,133,11,http://dro.deakin.edu.au/view/DU:30102044,TRUE
DU:30054705,Ecohydrological and socioeconomic integration for the operational management of environmental flows,Journal Article,"Bryan, B. A.;Higgins, A.;Overton, I. C.;Holland, K.;Lester, R. E.;King, D.;Nolan, M.;MacDonald, D. H.;Connor, J.D.;Bjornsson, T.;Kirby, M.",1051-0761,Ecological applications,"050209 Natural Resource Management,050209 Natural Resource Management",2013,16,15,4.314,2.265,347,99,http://dro.deakin.edu.au/view/DU:30054705,TRUE
DU:30102032,Mitigating economic risk from climate variability in rain-fed agriculture through enterprise mix diversification,Journal Article,"Kandulu, John M;Bryan, Brett A;King, Darran;Connor, Jeffery D",0921-8009,Ecological economics,"0502 Environmental Science And Management,1402 Applied Economics,1499 Other Economics",2012,30,29,2.965,1.712,125,2,http://dro.deakin.edu.au/view/DU:30102032,FALSE
DU:30102025,A conservation industry for sustaining natural capital and ecosystem services in agricultural landscapes,Journal Article,"Yang, Wanhong;Bryan, Brett A.;MacDonald, Darla Hatton;Ward, John R.;Wells, Geoff;Crossman, Neville D.;Connor, Jeffrey D.",0921-8009,Ecological economics,"0502 Environmental Science And Management,1402 Applied Economics,1499 Other Economics",2010,21,21,2.965,1.712,5,0,http://dro.deakin.edu.au/view/DU:30102025,FALSE
DU:30102024,Reconfiguring an irrigation landscape to improve provision of ecosystem services,Journal Article,"Crossman, ND;Connor, JD;Bryan, Brett;Summers, DM;Ginnivan, J",0921-8009,Ecological Economics,"0502 Environmental Science And Management,1402 Applied Economics,1499 Other Economics",2010,36,28,2.965,1.712,7,0,http://dro.deakin.edu.au/view/DU:30102024,FALSE
DU:30102020,Identifying cost-effective hotspots for restoring natural capital and enhancing landscape multifunctionality,Journal Article,"Crossman, ND;Bryan, Brett",0921-8009,Ecological Economics,"0502 Environmental Science And Management,1402 Applied Economics,1499 Other Economics",2009,100,82,2.965,1.712,9,0,http://dro.deakin.edu.au/view/DU:30102020,FALSE
DU:30102019,Mapping community values for natural capital and ecosystem services,Journal Article,"Raymond, CM;Bryan, Brett;MacDonald, DH;Cast, A;Strathearn, S;Grandgirard, A;Kalivas, T",0921-8009,Ecological Economics,"0502 Environmental Science And Management,1402 Applied Economics,1499 Other Economics",2009,321,272,2.965,1.712,24,0,http://dro.deakin.edu.au/view/DU:30102019,FALSE
DU:30102029,An invasive plant and climate change threat index for weed risk management: integrating habitat distribution pattern and dispersal process,Journal Article,"Crossman, ND;Bryan, Brett A;Cooke, DA",1470-160X,Ecological indicators,"03 Chemical Sciences,05 Environmental Sciences,06 Biological Sciences",2011,46,44,3.898,1.308,161,2,http://dro.deakin.edu.au/view/DU:30102029,FALSE
DU:30102026,Modelling and mapping agricultural opportunity costs to guide landscape planning for natural resource management,Journal Article,"Bryan, Brett A;King, D;Ward, JR",1470-160X,Ecological indicators,"03 Chemical Sciences,05 Environmental Sciences,06 Biological Sciences",2011,42,40,3.898,1.308,147,2,http://dro.deakin.edu.au/view/DU:30102026,FALSE
DU:30109718,"Changes in land-use and ecosystem services in the Guangzhou-Foshan Metropolitan Area, China from 1990 to 2010: implications for sustainability under rapid urbanization",Journal Article,"Ye, Yanqiong;Bryan, Brett A;Zhang, Jia'en;Connor, Jeffery D;Chen, Lili;Qin, Zhong;He, Mingqian",1470-160X,Ecological indicators,"03 Chemical Sciences,05 Environmental Sciences,06 Biological Sciences",2018,4,4,3.898,1.308,80,2,http://dro.deakin.edu.au/view/DU:30109718,FALSE
DU:30101988,The need for strategic revegetation planning in Australia's agricultural regions,Journal Article,"Bryan, Brett",1442-7001,Ecological Management & Restoration,"05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural And Veterinary Sciences",2000,0,,1.139,0.524,8,0,http://dro.deakin.edu.au/view/DU:30101988,FALSE
DU:30102077,Incorporating deep uncertainty into the elementary effects method for robust global sensitivity analysis,Journal Article,"Gao, Lei;Bryan, Brett A.",0304-3800,Ecological modelling,MD Multidisciplinary,2016,18,17,2.363,0.941,147,1,http://dro.deakin.edu.au/view/DU:30102077,FALSE
DU:30102056,"Sensitivity and uncertainty analysis of the APSIM-wheat model: interactions between cultivar, environmental, and management parameters",Journal Article,"Zhao, Gang;Bryan, Brett Anthony;Song, Xiaodong",0304-3800,Ecological modelling,MD Multidisciplinary,2014,47,44,2.363,0.941,147,2,http://dro.deakin.edu.au/view/DU:30102056,FALSE
DU:30102040,Time-dependent sensitivity of a process-based ecological model,Journal Article,"Song, Xiaodong;Bryan, Brett A;Almeida, Auro C;Paul, Keryn I;Zhao, Gang;Ren, Yin",0304-3800,Ecological modelling,MD Multidisciplinary,2013,17,19,2.363,0.941,125,1,http://dro.deakin.edu.au/view/DU:30102040,FALSE
DU:30102049,Variance-based sensitivity analysis of a forest growth model,Journal Article,"Song, Xiaodong;Bryan, Brett A;Paul, Keryn I;Zhao, Gang",0304-3800,Ecological modelling,MD Multidisciplinary,2012,36,36,2.363,0.941,134,2,http://dro.deakin.edu.au/view/DU:30102049,FALSE
DU:30102077,Incorporating deep uncertainty into the elementary effects method for robust global sensitivity analysis,Journal Article,"Gao, Lei;Bryan, Brett A.",1872-7026,Ecological modelling,MD Multidisciplinary,2016,18,17,2.363,0.941,147,1,http://dro.deakin.edu.au/view/DU:30102077,FALSE
DU:30102031,Food-carbon trade-offs between agriculture and reforestation land uses under alternate market-based policies,Journal Article,"Paterson, Stacey;Bryan, Brett Anthony",1708-3087,Ecology and society,"070504 Forestry Management and Environment,070101 Agricultural Land Management,070108 Sustainable Agricultural Development,MD Multidisciplinary",2012,32,28,2.842,1.805,121,14,http://dro.deakin.edu.au/view/DU:30102031,TRUE
DU:30113256,"Impacts of rapid urbanization on ecosystem services along urban-rural gradients: a case study of the Guangzhou-Foshan Metropolitan Area, South China",Journal Article,"Ye, Yanqiong;Zhang, Jia’en;Bryan, Brett A;Gao, Lei;Qin, Zhong;Chen, Lili;Yang, Jiayue",2376-7626,Écoscience,,2018,1,1,0.688,0.476,54,0,http://dro.deakin.edu.au/view/DU:30113256,FALSE
DU:30101591,Scenarios for land use and ecosystem services under global change,Journal Article,"Martinez-Harms, Maria Jose;Bryan, Brett A.;Figueroa, Eugenio;Pliscoff, Patricio;Runting, Rebecca K.;Wilson, Kerrie A.",2212-0416,Ecosystem services,"070101 Agricultural Land Management,060299 Ecology not elsewhere classified",2017,8,7,4.072,1.935,195,1,http://dro.deakin.edu.au/view/DU:30101591,FALSE
DU:30102061,"Land use mapping error introduces strongly-localised, scale-dependent uncertainty into land use and ecosystem services modelling",Journal Article,"Dong, Ming;Bryan, Brett A.;Connor, Jeffrey D.;Nolan, Martin;Gao, Lei",2212-0416,Ecosystem services,,2015,28,27,4.072,1.935,147,1,http://dro.deakin.edu.au/view/DU:30102061,FALSE
DU:30102064,Measurement matters in managing landscape carbon,Journal Article,"Law, Elizabeth A.;Bryan, Brett A.;Torabi, Nooshin;Bekessy, Sarah A.;McAlpine, Clive A.;Wilson, Kerrie A.",2212-0416,Ecosystem services,,2015,,8,4.072,1.935,146,18,http://dro.deakin.edu.au/view/DU:30102064,TRUE
DU:30102042,Impact of multiple interacting financial incentives on land use change and the supply of ecosystem services,Journal Article,"Bryan, Brett A;Crossman, Neville D",2212-0416,Ecosystem services,,2013,40,35,4.072,1.935,140,1,http://dro.deakin.edu.au/view/DU:30102042,FALSE
DU:30113257,Land-use change impacts on ecosystem services value: incorporating the scarcity effects of supply and demand dynamics,Journal Article,"Bryan, Brett A;Ye, Yanqiong;Zhang, Jia'en;Connor, Jeffery D",2212-0416,Ecosystem services,,2018,1,0,4.072,1.935,58,0,http://dro.deakin.edu.au/view/DU:30113257,FALSE
DU:30102023,Quantifying and Exploring Strategic Regional Priorities for Managing Natural Capital and Ecosystem Services Given Multiple Stakeholder Perspectives,Journal Article,"Bryan, Brett;Grandgirard, A;Ward, JR",1432-9840,Ecosystems.,"05 Environmental Sciences,06 Biological Sciences",2010,37,34,4.198,2.013,29,0,http://dro.deakin.edu.au/view/DU:30102023,FALSE
DU:30118662,Uncertainty assessment of hyperspectral image classification: Deep learning vs. random forest,Journal Article,"Roodposhti, MS;Aryal, J;Lucieer, A;Bryan, Brett",1099-4300,Entropy,"01 Mathematical Sciences,02 Physical Sciences",2019,,,1.821,0.584,0,0,http://dro.deakin.edu.au/view/DU:30118662,FALSE
DU:30101993,Synergistic techniques for better understanding and classifying the environmental structure of landscapes,Journal Article,"Bryan, Brett A.",0364-152X,Environmental management,"MD Multidisciplinary,MD Multidisciplinary",2006,24,20,1.878,0.794,108,0,http://dro.deakin.edu.au/view/DU:30101993,FALSE
DU:30102018,"Mapping Economic Returns to Agriculture for Informing Environmental Policy in the Murray-Darling Basin, Australia",Journal Article,"Bryan, Brett;Hajkowicz, S;Marvanek, S;Young, MD",1420-2026,Environmental Modeling and Assessment,MD Multidisciplinary,2009,25,23,1.023,0.35,14,0,http://dro.deakin.edu.au/view/DU:30102018,FALSE
DU:30101987,Distributed process modeling for regional assessment of coastal vulnerability to sea-level rise,Journal Article,"Bryan, Brett;Harvey, Nick;Belperio, Tony;Bourman, Bob",1420-2026,Environmental modeling and assessment,"MD Multidisciplinary,MD Multidisciplinary",2001,47,41,1.023,0.35,124,1,http://dro.deakin.edu.au/view/DU:30101987,FALSE
DU:30102075,"Mapping agriculture's impact by combining farm management handbooks, life-cycle assessment and search engine science",Journal Article,"Navarro, Javier;Bryan, Brett A.;Marinoni, Oswald;Eady, Sandra;Halog, Anthony",1364-8152,Environmental modelling and software,MD Multidisciplinary,2016,5,4,4.404,1.936,140,1,http://dro.deakin.edu.au/view/DU:30102075,FALSE
DU:30102069,Robust global sensitivity analysis under deep uncertainty via scenario analysis,Journal Article,"Gao, Lei;Bryan, Brett A.;Nolan, Martin;Connor, Jeffery D.;Song, Xiaodong;Zhao, Gang",1364-8152,Environmental modelling and software,MD Multidisciplinary,2016,31,29,4.404,1.936,138,1,http://dro.deakin.edu.au/view/DU:30102069,FALSE
DU:30102063,Modelling Australian land use competition and ecosystem services with food price feedbacks at high spatial resolution,Journal Article,"Connor, Jeffrey D.;Bryan, Brett A.;Nolan, Martin;Stock, Florian;Gao, Lei;Dunstall, Simon;Graham, Paul;Ernst, Andreas;Newth, David;Grundy, Mike;Hatfield-Dodds, Steve",1364-8152,Environmental modelling and software,MD Multidisciplinary,2015,27,26,4.404,1.936,159,1,http://dro.deakin.edu.au/view/DU:30102063,FALSE
DU:30102051,Simple models for managing complex social-ecological systems: the Landscape Futures Analysis Tool (LFAT),Journal Article,"Summers, David M.;Bryan, Brett A.;Meyer, Wayne S.;Lyle, Greg;Wells, Sam;McLean, Josie;Moon, Travis;van Gaans, Greg;Siebentritt, Mark",1364-8152,Environmental modelling and software,MD Multidisciplinary,2015,9,8,4.404,1.936,133,1,http://dro.deakin.edu.au/view/DU:30102051,FALSE
DU:30102047,High-performance computing tools for the integrated assessment and modelling of social-ecological systems,Journal Article,"Bryan, Brett A",1364-8152,Environmental modelling and software,MD Multidisciplinary,2013,31,29,4.404,1.936,116,1,http://dro.deakin.edu.au/view/DU:30102047,FALSE
DU:30102045,"Large-scale, high-resolution agricultural systems modeling using a hybrid approach combining grid computing and parallel processing",Journal Article,"Zhao, Gang;Bryan, Brett A;King, Darran;Luo, Zhongkui;Wang, Enli;Bende-Michl, Ulrike;Song, Xiaodong;Yu, Qiang",1364-8152,Environmental modelling and software,MD Multidisciplinary,2013,43,41,4.404,1.936,121,1,http://dro.deakin.edu.au/view/DU:30102045,FALSE
DU:30102028,Contribution of site assessment toward prioritising investment in natural capital,Journal Article,"Crossman, Neville D;Bryan, Brett A;King, Darran",1364-8152,Environmental modelling and software,MD Multidisciplinary,2011,23,20,4.404,1.936,117,2,http://dro.deakin.edu.au/view/DU:30102028,FALSE
DU:30102027,Landscape futures analysis: assessing the impacts of environmental targets under alternative spatial policy options and future scenarios,Journal Article,"Bryan, Brett A;Crossman, Neville D;King, Darran;Meyer, Wayne S",1364-8152,Environmental modelling & software,MD Multidisciplinary,2011,81,74,4.404,1.936,113,2,http://dro.deakin.edu.au/view/DU:30102027,FALSE
DU:30102009,CREDOS: a conservation reserve evaluation and design optimisation system,Journal Article,"Crossman, Neville D.;Perry, Lyall M.;Bryan, Brett A.;Ostendorf, Bertram",1364-8152,Environmental modelling and software,MD Multidisciplinary,2007,23,20,4.404,1.936,142,0,http://dro.deakin.edu.au/view/DU:30102009,FALSE
DU:30102039,Science to improve regional environmental investment decisions,Journal Article,"Zerger, Andre;Lefroy, Ted;Bryan, Brett",1364-8152,Environmental Modelling & Software,"050205 Environmental Management,050203 Environmental Education and Extension,MD Multidisciplinary",2011,1,1,4.404,1.936,13,1,http://dro.deakin.edu.au/view/DU:30102039,FALSE
DU:30118661,A novel algorithm for calculating transition potential in cellular automata models of land-use/cover change,Journal Article,"Roodposhti, MS;Aryal, J;Bryan, Brett",1364-8152,Environmental Modelling and Software,MD Multidisciplinary,2019,,,4.404,1.936,0,0,http://dro.deakin.edu.au/view/DU:30118661,FALSE
DU:30102075,"Mapping agriculture's impact by combining farm management handbooks, life-cycle assessment and search engine science",Journal Article,"Navarro, Javier;Bryan, Brett A.;Marinoni, Oswald;Eady, Sandra;Halog, Anthony",1873-6726,Environmental modelling and software,MD Multidisciplinary,2016,5,4,4.404,1.936,140,1,http://dro.deakin.edu.au/view/DU:30102075,FALSE
DU:30102069,Robust global sensitivity analysis under deep uncertainty via scenario analysis,Journal Article,"Gao, Lei;Bryan, Brett A.;Nolan, Martin;Connor, Jeffery D.;Song, Xiaodong;Zhao, Gang",1873-6726,Environmental modelling and software,MD Multidisciplinary,2016,31,29,4.404,1.936,138,1,http://dro.deakin.edu.au/view/DU:30102069,FALSE
DU:30117152,Effectiveness of regulatory policy in curbing deforestation in a biodiversity hotspot,Journal Article,"Simmons, B. Alexander;Wilson, Kerrie A.;Marcos-Martinez, Raymundo;Bryan, Brett A.;Holland, Oakes;Law, Elizabeth A.",1748-9318,Environmental research letters,MD Multidisciplinary,2018,0,0,4.404,2.628,17,1,http://dro.deakin.edu.au/view/DU:30117152,FALSE
DU:30102057,Influence of management and environment on Australian wheat: information for sustainable intensification and closing yield gaps,Journal Article,"Bryan, BA;King, D;Zhao, G",1748-9326,Environmental research letters,"070103 Agricultural Production Systems Simulation,050206 Environmental Monitoring,050204 Environmental Impact Assessment,MD Multidisciplinary",2014,19,19,4.404,2.628,108,57,http://dro.deakin.edu.au/view/DU:30102057,TRUE
DU:30117152,Effectiveness of regulatory policy in curbing deforestation in a biodiversity hotspot,Journal Article,"Simmons, B. Alexander;Wilson, Kerrie A.;Marcos-Martinez, Raymundo;Bryan, Brett A.;Holland, Oakes;Law, Elizabeth A.",1748-9326,Environmental research letters,MD Multidisciplinary,2018,0,0,4.404,2.628,17,1,http://dro.deakin.edu.au/view/DU:30117152,FALSE
DU:30102072,Cap and trade policy for managing water competition from potential future carbon plantations,Journal Article,"Connor, Jeffery D.;Bryan, Brett A.;Nolan, Martin",1462-9011,Environmental science and policy,"05 Environmental Sciences,16 Studies In Human Society,07 Agricultural And Veterinary Sciences",2016,3,1,3.751,1.656,122,1,http://dro.deakin.edu.au/view/DU:30102072,FALSE
DU:30102046,"Incentives, land use, and ecosystem services: synthesizing complex linkages",Journal Article,"Bryan, Brett A",1462-9011,Environmental science and policy,"05 Environmental Sciences,16 Studies In Human Society,07 Agricultural And Veterinary Sciences",2013,51,48,3.751,1.656,126,1,http://dro.deakin.edu.au/view/DU:30102046,FALSE
DU:30114605,Frequent policy uncertainty can negate the benefits of forest conservation policy,Journal Article,"Simmons, B. Alexander;Marcos-Martinez, Raymundo;Law, Elizabeth A.;Bryan, Brett A.;Wilson, Kerrie A.",1462-9011,Environmental science and policy,"05 Environmental Sciences,16 Studies In Human Society,07 Agricultural And Veterinary Sciences",2018,1,1,3.751,1.656,44,12,http://dro.deakin.edu.au/view/DU:30114605,TRUE
DU:30102072,Cap and trade policy for managing water competition from potential future carbon plantations,Journal Article,"Connor, Jeffery D.;Bryan, Brett A.;Nolan, Martin",1873-6416,Environmental science and policy,"05 Environmental Sciences,16 Studies In Human Society,07 Agricultural And Veterinary Sciences",2016,3,1,3.751,1.656,122,1,http://dro.deakin.edu.au/view/DU:30102072,FALSE
DU:30102046,"Incentives, land use, and ecosystem services: synthesizing complex linkages",Journal Article,"Bryan, Brett A",1873-6416,Environmental science and policy,"05 Environmental Sciences,16 Studies In Human Society,07 Agricultural And Veterinary Sciences",2013,51,48,3.751,1.656,126,1,http://dro.deakin.edu.au/view/DU:30102046,FALSE
DU:30114605,Frequent policy uncertainty can negate the benefits of forest conservation policy,Journal Article,"Simmons, B. Alexander;Marcos-Martinez, Raymundo;Law, Elizabeth A.;Bryan, Brett A.;Wilson, Kerrie A.",1873-6416,Environmental science and policy,"05 Environmental Sciences,16 Studies In Human Society,07 Agricultural And Veterinary Sciences",2018,1,1,3.751,1.656,44,12,http://dro.deakin.edu.au/view/DU:30114605,TRUE
DU:30108652,From water-use to water-scarcity footprinting in environmentally extended input–output analysis,Journal Article,"Ridoutt, Bradley G.;Hadjikakou, Michalis;Bryan, Brett A.;Nolan, Martin",0013-936X,Environmental science & technology,MD Multidisciplinary,2018,5,3,6.198,2.538,65,1,http://dro.deakin.edu.au/view/DU:30108652,FALSE
DU:30108014,Forest transition in developed agricultural regions needs efficient regulatory policy,Journal Article,"Marcos-Martinez, Raymundo;Bryan, Brett A.;Schwabe, Kurt A.;Connor, Jeffery D.;Law, Elizabeth A.",1389-9341,Forest policy and economics,"1402 Applied Economics,1605 Policy And Administration,0705 Forestry Sciences",2018,3,3,1.982,1.06,85,2,http://dro.deakin.edu.au/view/DU:30108014,FALSE
